# x(i)     phi(i)          |phi(i)|**2   p_classical(i)    vpot(i)
  5.350  0.32822371E-05  0.10773081E-10  0.00000000E+00   14.311250
  5.400  0.25266518E-05  0.63839695E-11  0.00000000E+00   14.580000
  5.450  0.19363145E-05  0.37493139E-11  0.00000000E+00   14.851250
  5.500  0.14752421E-05  0.21763391E-11  0.00000000E+00   15.125000
  5.550  0.11146734E-05  0.12424967E-11  0.00000000E+00   15.401250
  5.600  0.83158361E-06  0.69153130E-12  0.00000000E+00   15.680000
  5.650  0.60745476E-06  0.36900129E-12  0.00000000E+00   15.961250
  5.700  0.42724987E-06  0.18254245E-12  0.00000000E+00   16.245000
  5.750  0.27854481E-06  0.77587213E-13  0.00000000E+00   16.531250
  5.800  0.15077468E-06  0.22733005E-13  0.00000000E+00   16.820000
  5.850  0.34554190E-07  0.11939920E-14  0.00000000E+00   17.111250
  5.900 -0.78969067E-07  0.62361135E-14  0.00000000E+00   17.405000
  5.950 -0.19877249E-06  0.39510504E-13  0.00000000E+00   17.701250
  6.000 -0.33467812E-06  0.11200944E-12  0.00000000E+00   18.000000
  6.050 -0.49819535E-06  0.24819860E-12  0.00000000E+00   18.301250
  6.100 -0.70356507E-06  0.49500381E-12  0.00000000E+00   18.605000
  6.150 -0.96910857E-06  0.93917142E-12  0.00000000E+00   18.911250
  6.200 -0.13190209E-05  0.17398162E-11  0.00000000E+00   19.220000
  6.250 -0.17858011E-05  0.31890856E-11  0.00000000E+00   19.531250
  6.300 -0.24135859E-05  0.58253969E-11  0.00000000E+00   19.845000
  6.350 -0.32627616E-05  0.10645613E-10  0.00000000E+00   20.161250
  6.400 -0.44163797E-05  0.19504410E-10  0.00000000E+00   20.480000
  6.450 -0.59891209E-05  0.35869569E-10  0.00000000E+00   20.801250
  6.500 -0.81398613E-05  0.66257343E-10  0.00000000E+00   21.125000
  6.550 -0.11089342E-04  0.12297350E-09  0.00000000E+00   21.451250
  6.600 -0.15145075E-04  0.22937329E-09  0.00000000E+00   21.780000
  6.650 -0.20736548E-04  0.43000442E-09  0.00000000E+00   22.111250
  6.700 -0.28465092E-04  0.81026149E-09  0.00000000E+00   22.445000
  6.750 -0.39174700E-04  0.15346571E-08  0.00000000E+00   22.781250
  6.800 -0.54052816E-04  0.29217069E-08  0.00000000E+00   23.120000
  6.850 -0.74774147E-04  0.55911731E-08  0.00000000E+00   23.461250
  6.900 -0.10370629E-03  0.10754995E-07  0.00000000E+00   23.805000
  6.950 -0.14420449E-03  0.20794934E-07  0.00000000E+00   24.151250
  7.000 -0.20103502E-03  0.40415080E-07  0.00000000E+00   24.500000
  7.050 -0.28098498E-03  0.78952557E-07  0.00000000E+00   24.851250
  7.100 -0.39374223E-03  0.15503294E-06  0.00000000E+00   25.205000
  7.150 -0.55316855E-03  0.30599545E-06  0.00000000E+00   25.561250
  7.200 -0.77914559E-03  0.60706785E-06  0.00000000E+00   25.920000
  7.250 -0.11002578E-02  0.12105673E-05  0.00000000E+00   26.281250
  7.300 -0.15577010E-02  0.24264325E-05  0.00000000E+00   26.645000
  7.350 -0.22109893E-02  0.48884735E-05  0.00000000E+00   27.011250
  7.400 -0.31463073E-02  0.98992495E-05  0.00000000E+00   27.380000
  7.450 -0.44887636E-02  0.20148999E-04  0.00000000E+00   27.751250
  7.500 -0.64204070E-02  0.41221626E-04  0.00000000E+00   28.125000
  7.550 -0.92067796E-02  0.84764791E-04  0.00000000E+00   28.501250
  7.600 -0.13236143E-01  0.17519548E-03  0.00000000E+00   28.880000
  7.650 -0.19077560E-01  0.36395331E-03  0.00000000E+00   29.261250
  7.700 -0.27567099E-01  0.75994497E-03  0.00000000E+00   29.645000
  7.750 -0.39936072E-01  0.15948899E-02  0.00000000E+00   30.031250
  7.800 -0.58002254E-01  0.33642614E-02  0.00000000E+00   30.420000
  7.850 -0.84455674E-01  0.71327609E-02  0.00000000E+00   30.811250
  7.900 -0.12328677E+00  0.15199627E-01  0.00000000E+00   31.205000
  7.950 -0.18042927E+00  0.32554721E-01  0.00000000E+00   31.601250
  8.000 -0.26472785E+00  0.70080836E-01  0.00000000E+00   32.000000
  8.050 -0.38939795E+00  0.15163077E+00  0.00000000E+00   32.401250
