# x(i)     phi(i)          |phi(i)|**2   p_classical(i)    vpot(i)
 -5.000 -0.49219656E-11  0.24225745E-22  0.00000000E+00   12.500000
 -3.375  0.74807765E-01  0.55962017E-02  0.00000000E+00    5.695313
 -3.370  0.75708214E-01  0.57317337E-02  0.00000000E+00    5.678450
 -3.365  0.76616910E-01  0.58701508E-02  0.00000000E+00    5.661613
 -3.360  0.77533886E-01  0.60115035E-02  0.00000000E+00    5.644800
 -3.355  0.78459177E-01  0.61558425E-02  0.00000000E+00    5.628012
 -3.350  0.79392817E-01  0.63032194E-02  0.00000000E+00    5.611250
 -3.345  0.80334837E-01  0.64536861E-02  0.00000000E+00    5.594513
 -3.340  0.81285271E-01  0.66072953E-02  0.00000000E+00    5.577800
 -3.335  0.82244150E-01  0.67641001E-02  0.00000000E+00    5.561113
 -3.330  0.83211504E-01  0.69241544E-02  0.00000000E+00    5.544450
 -3.325  0.84187364E-01  0.70875123E-02  0.00000000E+00    5.527813
 -3.320  0.85171761E-01  0.72542288E-02  0.00000000E+00    5.511200
 -3.315  0.86164722E-01  0.74243593E-02  0.00000000E+00    5.494612
 -3.310  0.87166276E-01  0.75979597E-02  0.00000000E+00    5.478050
 -3.305  0.88176452E-01  0.77750867E-02  0.00000000E+00    5.461513
 -3.300  0.89195276E-01  0.79557972E-02  0.00000000E+00    5.445000
 -3.295  0.90222774E-01  0.81401489E-02  0.00000000E+00    5.428513
 -3.290  0.91258972E-01  0.83281999E-02  0.00000000E+00    5.412050
 -3.285  0.92303894E-01  0.85200089E-02  0.00000000E+00    5.395613
 -3.280  0.93357565E-01  0.87156350E-02  0.00000000E+00    5.379200
 -3.275  0.94420009E-01  0.89151380E-02  0.00000000E+00    5.362812
 -3.270  0.95491246E-01  0.91185781E-02  0.00000000E+00    5.346450
 -3.265  0.96571300E-01  0.93260160E-02  0.00000000E+00    5.330113
 -3.260  0.97660191E-01  0.95375128E-02  0.00000000E+00    5.313800
 -3.255  0.98757938E-01  0.97531304E-02  0.00000000E+00    5.297512
 -3.250  0.99864562E-01  0.99729307E-02  0.00000000E+00    5.281250
 -3.245  0.10098008E+00  0.10196976E-01  0.00000000E+00    5.265013
 -3.240  0.10210451E+00  0.10425331E-01  0.00000000E+00    5.248800
 -3.235  0.10323787E+00  0.10658057E-01  0.00000000E+00    5.232612
 -3.230  0.10438017E+00  0.10895219E-01  0.00000000E+00    5.216450
 -3.225  0.10553143E+00  0.11136882E-01  0.00000000E+00    5.200312
 -3.220  0.10669166E+00  0.11383110E-01  0.00000000E+00    5.184200
